data;

param n:= 100;

param m:= 5;

param cost: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 :=
1 	36 46 34 25 29 17 15 29 38 50 39 50 37 39 25 13 11 11 32 50 23 44 15 25 42 13 41 31 16 44 49 25 31 14 45 44 36 50 49 30 15 22 31 45 40 41 22 34 13 26 14 34 31 22 47 37 42 47 42 24 32 25 41 40 35 20 43 10 29 28 30 23 20 28 26 47 46 30 18 47 17 17 40 45 43 44 48 24 48 23 38 45 27 36 20 11 26 35 27 41 
2 	12 33 26 10 32 49 46 44 41 49 41 45 43 44 24 14 17 21 32 39 25 29 28 38 38 12 17 42 22 43 31 47 15 10 40 12 39 34 28 23 35 46 48 40 29 13 38 37 14 16 30 32 20 37 48 32 48 38 41 11 49 35 43 19 10 19 45 32 28 23 23 11 23 40 14 21 44 41 25 41 40 41 42 13 45 31 43 13 20 25 30 19 10 10 43 31 35 21 31 45 
3 	34 23 36 34 21 39 48 37 34 10 44 39 41 13 45 11 35 43 35 46 27 36 19 23 21 20 46 29 29 12 40 11 14 50 25 34 32 37 28 36 35 15 25 37 30 41 28 32 48 32 40 32 40 41 17 41 34 40 19 42 36 15 50 26 49 47 20 35 39 20 10 23 42 39 14 44 44 22 34 23 26 50 26 35 15 39 46 26 48 17 47 16 44 39 50 46 21 50 50 17 
4 	10 42 25 24 16 31 11 25 21 43 41 27 38 31 36 35 14 17 18 36 25 27 44 18 24 46 43 44 21 20 11 42 20 24 33 42 41 32 50 25 47 15 38 29 32 46 25 10 42 33 27 20 11 33 41 31 11 23 49 12 20 50 39 47 45 38 50 19 45 49 33 49 25 44 32 30 42 47 25 21 45 11 13 33 17 48 19 37 27 29 17 44 34 37 19 50 43 22 27 38 
5 	39 19 24 16 50 20 39 11 26 40 18 44 37 26 13 25 16 12 39 19 31 29 34 48 42 11 32 27 39 26 47 37 39 49 37 50 33 26 12 12 26 38 22 13 11 20 40 44 25 38 29 37 11 19 39 33 27 50 33 35 40 47 47 15 23 11 38 29 36 50 39 12 47 21 50 24 29 47 35 39 25 42 35 30 19 23 22 28 16 39 10 46 37 29 18 30 16 32 30 33 ;

param capacity:= 1 	 342
2 	 342
3 	 342
4 	 342
5 	 342;

param freq: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 :=
1 	0 0 0 0 0 1024 0 0 0 0 17 0 807 0 0 2 1023 1024 0 0 1022 0 1024 0 0 0 0 2 1023 0 0 0 0 0 0 0 0 0 0 0 1024 0 0 0 0 0 1024 0 1019 0 1024 0 0 346 0 0 0 0 0 0 0 0 4 0 0 0 0 1024 1 0 0 0 1023 137 0 0 0 0 1024 0 1023 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1024 0 0 515 0 
2 	1 0 1 1024 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 2 0 0 0 0 336 1024 0 0 0 0 0 3 1024 0 1024 0 0 1 4 0 0 0 0 0 1024 0 0 5 1024 0 0 0 0 0 2 0 0 0 1023 0 0 0 240 1024 16 0 0 1023 0 0 1024 1 0 537 1023 0 0 0 0 0 0 0 1023 0 83 0 1024 306 0 0 1 1024 1024 0 0 0 1021 0 0 
3 	0 206 0 0 0 0 0 0 0 1024 0 0 0 1024 0 1022 0 0 0 0 0 0 0 0 1024 0 0 482 0 1023 0 1024 1021 0 1024 0 1024 0 2 0 0 505 150 0 0 0 0 0 0 0 0 0 0 0 1024 0 0 0 1024 0 0 1024 0 0 0 0 1024 0 0 1024 1024 0 0 0 487 0 0 1024 0 1 1 0 0 0 1020 0 0 0 0 1024 0 1023 0 0 0 0 203 0 0 1024 
4 	1023 0 487 0 1024 0 1024 4 1024 0 0 1024 4 0 0 0 1 0 1024 3 0 1023 0 1024 0 0 0 0 1 1 1024 0 0 0 0 0 0 226 0 0 0 519 0 13 0 0 0 1024 0 0 0 1024 1020 0 0 1022 1024 1024 0 1 1024 0 1020 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 1023 0 1024 1024 0 4 0 1024 0 0 0 75 0 0 0 332 0 0 3 509 0 
5 	0 818 536 0 0 0 0 1020 0 0 1007 0 213 0 985 0 0 0 0 1021 0 1 0 0 0 688 0 540 0 0 0 0 0 0 0 0 0 798 1021 1020 0 0 874 1011 1024 0 0 0 0 0 0 0 4 678 0 0 0 0 0 0 0 0 0 784 0 1008 0 0 0 0 0 0 0 887 0 1 1006 0 0 0 0 0 0 1 0 941 0 0 718 0 949 0 0 0 690 0 821 0 0 0 ;

end;
