data;

param n:= 100;

param m:= 5;

param cost: 1 2 3 4 5 :=
1 	36 12 34 10 39 
2 	46 33 23 42 19 
3 	34 26 36 25 24 
4 	25 10 34 24 16 
5 	29 32 21 16 50 
6 	17 49 39 31 20 
7 	15 46 48 11 39 
8 	29 44 37 25 11 
9 	38 41 34 21 26 
10 	50 49 10 43 40 
11 	39 41 44 41 18 
12 	50 45 39 27 44 
13 	37 43 41 38 37 
14 	39 44 13 31 26 
15 	25 24 45 36 13 
16 	13 14 11 35 25 
17 	11 17 35 14 16 
18 	11 21 43 17 12 
19 	32 32 35 18 39 
20 	50 39 46 36 19 
21 	23 25 27 25 31 
22 	44 29 36 27 29 
23 	15 28 19 44 34 
24 	25 38 23 18 48 
25 	42 38 21 24 42 
26 	13 12 20 46 11 
27 	41 17 46 43 32 
28 	31 42 29 44 27 
29 	16 22 29 21 39 
30 	44 43 12 20 26 
31 	49 31 40 11 47 
32 	25 47 11 42 37 
33 	31 15 14 20 39 
34 	14 10 50 24 49 
35 	45 40 25 33 37 
36 	44 12 34 42 50 
37 	36 39 32 41 33 
38 	50 34 37 32 26 
39 	49 28 28 50 12 
40 	30 23 36 25 12 
41 	15 35 35 47 26 
42 	22 46 15 15 38 
43 	31 48 25 38 22 
44 	45 40 37 29 13 
45 	40 29 30 32 11 
46 	41 13 41 46 20 
47 	22 38 28 25 40 
48 	34 37 32 10 44 
49 	13 14 48 42 25 
50 	26 16 32 33 38 
51 	14 30 40 27 29 
52 	34 32 32 20 37 
53 	31 20 40 11 11 
54 	22 37 41 33 19 
55 	47 48 17 41 39 
56 	37 32 41 31 33 
57 	42 48 34 11 27 
58 	47 38 40 23 50 
59 	42 41 19 49 33 
60 	24 11 42 12 35 
61 	32 49 36 20 40 
62 	25 35 15 50 47 
63 	41 43 50 39 47 
64 	40 19 26 47 15 
65 	35 10 49 45 23 
66 	20 19 47 38 11 
67 	43 45 20 50 38 
68 	10 32 35 19 29 
69 	29 28 39 45 36 
70 	28 23 20 49 50 
71 	30 23 10 33 39 
72 	23 11 23 49 12 
73 	20 23 42 25 47 
74 	28 40 39 44 21 
75 	26 14 14 32 50 
76 	47 21 44 30 24 
77 	46 44 44 42 29 
78 	30 41 22 47 47 
79 	18 25 34 25 35 
80 	47 41 23 21 39 
81 	17 40 26 45 25 
82 	17 41 50 11 42 
83 	40 42 26 13 35 
84 	45 13 35 33 30 
85 	43 45 15 17 19 
86 	44 31 39 48 23 
87 	48 43 46 19 22 
88 	24 13 26 37 28 
89 	48 20 48 27 16 
90 	23 25 17 29 39 
91 	38 30 47 17 10 
92 	45 19 16 44 46 
93 	27 10 44 34 37 
94 	36 10 39 37 29 
95 	20 43 50 19 18 
96 	11 31 46 50 30 
97 	26 35 21 43 16 
98 	35 21 50 22 32 
99 	27 31 50 27 30 
100 	41 45 17 38 33 ;

param resources: 1 2 3 4 5 :=
1 	15 8 22 6 23 
2 	8 10 9 5 19 
3 	11 7 13 24 18 
4 	16 23 12 24 17 
5 	24 20 22 24 25 
6 	8 9 7 23 14 
7 	19 7 10 8 15 
8 	9 11 8 8 12 
9 	15 21 15 6 11 
10 	7 9 12 18 5 
11 	6 16 15 20 25 
12 	13 20 15 7 14 
13 	10 9 12 8 8 
14 	12 25 16 6 8 
15 	25 10 7 7 16 
16 	16 14 15 5 17 
17 	21 20 17 21 11 
18 	18 23 20 25 12 
19 	21 23 16 5 8 
20 	21 25 12 18 14 
21 	22 13 21 7 10 
22 	8 14 17 13 9 
23 	18 7 10 11 20 
24 	11 14 19 5 9 
25 	12 9 16 23 9 
26 	24 25 21 20 13 
27 	15 18 23 15 21 
28 	13 17 23 8 22 
29 	17 10 6 21 10 
30 	21 14 21 23 5 
31 	24 21 24 15 15 
32 	23 6 18 23 12 
33 	23 15 8 20 6 
34 	19 8 11 9 19 
35 	20 10 8 6 10 
36 	17 24 10 17 12 
37 	13 17 22 23 16 
38 	12 25 16 15 23 
39 	9 15 5 19 11 
40 	22 21 9 25 6 
41 	13 20 5 17 14 
42 	14 12 12 15 12 
43 	25 15 18 17 14 
44 	7 16 15 23 22 
45 	9 7 16 5 5 
46 	25 17 8 23 23 
47 	20 12 22 7 9 
48 	13 8 5 15 18 
49 	21 21 5 17 7 
50 	20 19 12 5 9 
51 	25 14 17 13 17 
52 	5 19 5 15 18 
53 	11 7 18 9 22 
54 	20 25 24 15 22 
55 	10 16 12 21 8 
56 	17 20 20 12 9 
57 	5 17 13 19 18 
58 	25 18 25 24 14 
59 	11 21 17 19 16 
60 	6 8 7 19 6 
61 	14 11 9 13 12 
62 	24 10 21 5 20 
63 	17 19 23 9 15 
64 	7 11 20 24 21 
65 	16 16 5 15 23 
66 	10 13 20 9 7 
67 	15 11 13 18 18 
68 	9 14 12 7 16 
69 	15 16 9 10 20 
70 	13 15 8 12 14 
71 	23 17 6 19 22 
72 	13 13 7 5 21 
73 	12 7 8 25 13 
74 	13 10 21 20 22 
75 	5 5 5 23 18 
76 	8 25 21 18 18 
77 	15 7 17 10 14 
78 	19 12 13 18 9 
79 	7 18 9 22 10 
80 	13 12 8 9 15 
81 	21 16 17 20 18 
82 	10 12 11 12 6 
83 	12 16 17 6 7 
84 	9 14 25 15 6 
85 	11 8 12 23 20 
86 	11 17 8 10 22 
87 	23 8 11 16 25 
88 	5 16 6 15 18 
89 	18 11 8 22 25 
90 	13 23 5 12 12 
91 	19 22 23 7 17 
92 	20 22 25 9 18 
93 	24 23 18 7 25 
94 	9 17 25 12 24 
95 	22 16 18 9 14 
96 	25 8 5 14 17 
97 	21 18 12 22 22 
98 	14 19 8 15 13 
99 	19 10 7 22 11 
100 	21 7 9 13 22 ;

param capacity:= 1 	 342
2 	 342
3 	 342
4 	 342
5 	 342;

param freq: 1 2 3 4 5 :=
1 	0 31 1 2270 2 
2 	1 1 2284 0 18 
3 	3 2215 5 55 26 
4 	2 37 1 5 2259 
5 	1 0 8 2295 0 
6 	2298 0 0 2 4 
7 	3 0 0 2300 1 
8 	0 1 0 2 2301 
9 	4 2 1 2291 6 
10 	0 0 2304 0 0 
11 	2256 7 6 3 32 
12 	0 1 1 2302 0 
13 	32 7 8 6 2251 
